"Sample_ID","JD","JD2","TSSR","TSSR2","BCR"
"mnbba:T101R39a:2010-06-22T11:55:0Z:43.5868835690454:-95.4763039749347",0.471232876712329,0.222060424094577,0.0514842204252879,0.00265062495279963,11
"mnbba:T101R39a:2010-06-22T12:20:0Z:43.553389356671:-95.4546160449355",0.471232876712329,0.222060424094577,0.0688181355043694,0.00473593577429775,11
"mnbba:T101R40a:2010-06-22T10:35:0Z:43.5724980016485:-95.6112655919463",0.471232876712329,0.222060424094577,-0.00448386818722442,2.01050739204032e-05,11
"mnbba:T101R40a:2010-06-22T10:52:0Z:43.5543732653201:-95.6136391890245",0.471232876712329,0.222060424094577,0.00726778382504428,5.28206817275753e-05,11
"mnbba:T101R40a:2010-06-22T11:10:0Z:43.5495888031253:-95.6137912840298",0.471232876712329,0.222060424094577,0.0197548788344419,0.000390255237763479,11
"mnbba:T101R41a:2011-06-01T13:0:0Z:43.5725952484961:-95.7461497649699",0.413698630136986,0.171146556577219,0.09391863067117,0.00882070918714764,11
"mnbba:T101R41a:2011-06-01T13:15:0Z:43.5676518537126:-95.733641200033",0.413698630136986,0.171146556577219,0.10435813539282,0.0108906204226662,11
"mnbba:T101R41a:2011-06-01T13:30:0Z:43.5639783168296:-95.7336422060238",0.413698630136986,0.171146556577219,0.114765961004628,0.0131712258053158,11
"mnbba:T101R42a:2011-06-01T12:20:0Z:43.5444548526881:-95.8339719939764",0.413698630136986,0.171146556577219,0.0658293056791579,0.00433349748620001,11
"mnbba:T101R42a:2011-06-01T12:38:0Z:43.5467088312582:-95.8141309399792",0.413698630136986,0.171146556577219,0.0783898184945186,0.00614496364360357,11
"mnbba:T101R42a:2011-06-01T12:5:0Z:43.5498427396462:-95.8339661270105",0.413698630136986,0.171146556577219,0.0554256084312995,0.00307199806997974,11
"mnbba:T101R43a:2011-05-29T13:55:0Z:43.5870740644897:-95.9501883390455",0.405479452054795,0.164413586038656,0.13039562607253,0.0170030192988472,22
"mnbba:T101R43a:2011-05-29T14:10:0Z:43.5871762396935:-95.9396708939541",0.405479452054795,0.164413586038656,0.140841735013657,0.0198363943216572,22
"mnbba:T101R43a:2011-05-29T14:30:0Z:43.5493333713955:-95.9735746030187",0.405479452054795,0.164413586038656,0.154547750367611,0.0238850071436893,22
"mnbba:T101R44a:2011-05-28T13:45:0Z:43.5583748466822:-96.0966060220135",0.402739726027397,0.162199286920623,0.122534061833112,0.015014596309321,22
