"Sample_ID","JD","TSSR"
"bam-mn_m:MNBBA:T102R27a:2:10:2010-5-28T5:47:00Z",147,-4.87048529571957
"bam-mn_m:MNBBA:T102R27a:3:10:2010-5-28T5:32:00Z",147,-5.12048529571957
"bam-mn_m:MNBBA:T102R28a:1:10:2010-5-28T5:20:00Z",147,-5.32048529571957
"bam-mn_m:MNBBA:T102R28a:2:10:2010-5-28T5:35:00Z",147,-5.07048529571957
"bam-mn_m:MNBBA:T102R28a:3:10:2010-5-28T6:0:00Z",147,-4.6538186290529
"bam-mn_m:MNBBA:T102R29a:1:11:2011-5-27T5:30:00Z",146,-5.16920124053955
"bam-mn_m:MNBBA:T102R29a:2:11:2011-5-27T5:45:00Z",146,-4.91920124053955
"bam-mn_m:MNBBA:T102R29a:3:11:2011-5-27T5:15:00Z",146,-5.41920124053955
"bam-mn_m:MNBBA:T102R30a:1:11:2011-5-27T6:24:00Z",146,-4.26920124053955
"bam-mn_m:MNBBA:T102R30a:2:11:2011-5-27T6:40:00Z",146,-4.00253457387288
"bam-mn_m:MNBBA:T102R30a:3:11:2011-5-27T6:10:00Z",146,-4.50253457387288
"bam-mn_m:MNBBA:T102R31a:1:11:2011-5-29T6:30:00Z",148,-4.14507597784201
"bam-mn_m:MNBBA:T102R31a:2:11:2011-5-29T6:45:00Z",148,-3.89507597784201
"bam-mn_m:MNBBA:T102R31a:3:11:2011-5-29T6:10:00Z",148,-4.47840931117535
"bam-mn_m:MNBBA:T102R32a:1:11:2011-5-29T7:8:00Z",148,-3.51174264450868
"bam-mn_m:MNBBA:T102R32a:2:11:2011-5-29T7:22:00Z",148,-3.27840931117535
"bam-mn_m:MNBBA:T102R32a:3:11:2011-5-29T7:37:00Z",148,-3.02840931117535
"bam-mn_m:MNBBA:T102R33a:1:11:2011-6-3T5:15:00Z",153,-5.34565636542108
"bam-mn_m:MNBBA:T102R33a:2:11:2011-6-3T5:42:00Z",153,-4.89565636542108
"bam-mn_m:MNBBA:T102R33a:3:11:2011-6-3T5:29:00Z",153,-5.11232303208775
"bam-mn_m:MNBBA:T102R34a:1:11:2011-6-4T5:28:00Z",154,-5.12101796189944
"bam-mn_m:MNBBA:T102R34a:2:11:2011-6-4T5:41:00Z",154,-4.90435129523277
"bam-mn_m:MNBBA:T102R34a:3:11:2011-6-4T5:15:00Z",154,-5.33768462856611
"bam-mn_m:MNBBA:T102R35a:1:10:2010-6-16T8:40:00Z",166,-1.87646854877472
"bam-mn_m:MNBBA:T102R35a:2:10:2010-6-16T7:30:00Z",166,-3.04313521544139
"bam-mn_m:MNBBA:T102R35a:3:10:2010-6-16T7:50:00Z",166,-2.70980188210805
"bam-mn_m:MNBBA:T102R36a:1:10:2010-6-16T7:37:00Z",166,-2.92646854877472
"bam-mn_m:MNBBA:T102R36a:2:10:2010-6-16T7:24:00Z",166,-3.14313521544139
"bam-mn_m:MNBBA:T102R36a:3:10:2010-6-16T7:10:00Z",166,-3.37646854877472
"bam-mn_m:MNBBA:T102R37a:1:10:2010-6-22T8:9:00Z",172,-2.40709142300818
"bam-mn_m:MNBBA:T102R37a:2:10:2010-6-22T8:21:00Z",172,-2.20709142300818
"bam-mn_m:MNBBA:T102R37a:3:10:2010-6-22T8:38:00Z",172,-1.92375808967484
"bam-mn_m:MNBBA:T102R38a:1:10:2010-6-22T7:32:00Z",172,-3.02375808967484
"bam-mn_m:MNBBA:T102R38a:2:10:2010-6-22T7:21:00Z",172,-3.20709142300818
"bam-mn_m:MNBBA:T102R38a:3:10:2010-6-22T7:52:00Z",172,-2.69042475634151
"bam-mn_m:MNBBA:T102R39a:1:10:2010-6-22T7:2:00Z",172,-3.52375808967484
"bam-mn_m:MNBBA:T102R39a:2:10:2010-6-22T6:49:00Z",172,-3.74042475634151
"bam-mn_m:MNBBA:T102R39a:3:10:2010-6-22T6:38:00Z",172,-3.92375808967484
"bam-mn_m:MNBBA:T102R40a:1:10:2010-6-22T5:58:00Z",172,-4.59042475634151
"bam-mn_m:MNBBA:T102R40a:2:10:2010-6-22T6:12:00Z",172,-4.35709142300818
"bam-mn_m:MNBBA:T102R40a:3:10:2010-6-22T5:40:00Z",172,-4.89042475634151
"bam-mn_m:MNBBA:T102R41a:1:11:2011-5-31T6:10:00Z",150,-4.45674989422162
"bam-mn_m:MNBBA:T102R41a:2:11:2011-5-31T5:50:00Z",150,-4.79008322755496
"bam-mn_m:MNBBA:T102R41a:3:11:2011-6-1T5:50:00Z",151,-4.78019380801254
"bam-mn_m:MNBBA:T102R42a:1:11:2011-6-1T6:20:00Z",151,-4.28019380801254
"bam-mn_m:MNBBA:T102R42a:2:11:2011-6-1T6:40:00Z",151,-3.94686047467921
"bam-mn_m:MNBBA:T102R42a:3:11:2011-5-31T7:9:00Z",150,-3.47341656088829
"bam-mn_m:MNBBA:T102R43a:1:11:2011-5-29T8:10:00Z",148,-2.47840931117535
"bam-mn_m:MNBBA:T102R43a:2:11:2011-5-29T7:50:00Z",148,-2.81174264450868
"bam-mn_m:MNBBA:T102R43a:3:11:2011-5-29T8:30:00Z",148,-2.14507597784201
"bam-mn_m:MNBBA:T102R44a:1:11:2011-5-29T7:20:00Z",148,-3.24958626919323
"bam-mn_m:MNBBA:T102R44a:2:11:2011-5-29T7:5:00Z",148,-3.49958626919323
"bam-mn_m:MNBBA:T102R44a:3:11:2011-5-29T6:45:00Z",148,-3.83291960252656
"bam-mn_m:MNBBA:T102R45a:1:11:2011-5-29T5:25:00Z",148,-5.16625293585989
"bam-mn_m:MNBBA:T102R45a:2:11:2011-5-29T6:25:00Z",148,-4.16625293585989
