"Sample_ID","JD","TSSR"
"grass_m:12UXV23:08:2017-6-11T8:38:00Z:49.062351:-109.292404",161,-2.57624117069774
"grass_m:12UXV23:09:2017-6-11T8:58:00Z:49.061302:-109.310036",161,-2.24416653600004
"grass_m:12UXV23:12:2017-6-11T8:47:00Z:49.062752:-109.301903",161,-2.42684245142672
"grass_m:12UXV23:13:2017-5-29T7:18:00Z:49.015621:-109.258537",148,-4.02229793435997
"grass_m:12UXV23:14:2017-5-29T6:2:00Z:49.074383:-109.273148",148,-5.28567960355017
"grass_m:12UXV23:15:2017-5-29T6:46:00Z:49.036335:-109.278481",148,-4.55546043051614
"grass_m:12UXV23:16:2017-5-29T8:9:00Z:49.017838:-109.227867",148,-3.17009396261639
"grass_m:12UXV23:21:2017-5-29T7:47:00Z:49.014587:-109.234612",148,-3.53744530346659
"grass_m:12UXV23:23:2017-5-29T7:30:00Z:49.014496:-109.24263",148,-3.82131945914692
"grass_m:12UXV23:24:2017-5-29T6:14:00Z:49.052849:-109.278381",148,-5.08759034481313
"grass_m:12UXV23:25:2017-5-29T7:8:00Z:49.022675:-109.269302",148,-4.18917133635945
"grass_m:12UXV23:27:2017-5-29T5:41:00Z:49.097294:-109.278519",148,-5.63437362756994
"grass_m:12UXV24:01:2017-5-28T6:24:00Z:49.171516:-109.323006",147,-4.9289893523852
"grass_m:12UXV24:05:2017-5-28T8:16:00Z:49.15535:-109.256332",147,-3.05904729207357
"grass_m:12UXV24:08:2017-5-28T7:37:00Z:49.17429:-109.291107",147,-3.70999699625704
"grass_m:12UXV24:10:2017-5-28T8:2:00Z:49.159687:-109.271103",147,-3.29305181251632
"grass_m:12UXV24:11:2017-5-28T5:35:00Z:49.145184:-109.315933",147,-5.74708503120475
"grass_m:12UXV24:13:2017-5-28T6:55:00Z:49.17429:-109.345222",147,-4.41360254685084
"grass_m:12UXV24:14:2017-5-28T7:47:00Z:49.174263:-109.280609",147,-3.54263282352024
"grass_m:12UXV24:19:2017-5-28T7:28:00Z:49.174252:-109.298935",147,-3.86052130136225
"grass_m:12UXV24:22:2017-5-28T7:15:00Z:49.174274:-109.30867",147,-4.07783499836922
"grass_m:12UXV24:23:2017-5-28T6:37:00Z:49.180222:-109.324089",147,-4.71176600515842
"grass_m:12UXV24:24:2017-5-28T8:43:00Z:49.110691:-109.256264",147,-2.61226144075394
"grass_m:12UXV24:25:2017-5-28T5:45:00Z:49.140549:-109.322906",147,-5.58121718280845
"grass_m:12UXV24:26:2017-5-28T8:31:00Z:49.12067:-109.256271",147,-2.8115433334642
"grass_m:12UXV24:27:2017-5-28T5:20:00Z:49.145199:-109.286453",147,-5.9951197671228
"grass_m:12UXV33:01:2017-5-30T8:46:00Z:49.089733:-109.167259",149,-2.53120762990581
"grass_m:12UXV33:06:2017-5-30T7:54:00Z:49.066135:-109.20256",149,-3.40195600569248
"grass_m:12UXV33:08:2017-5-30T6:27:00Z:49.056835:-109.167503",149,-4.8503011412753
"grass_m:12UXV33:09:2017-5-30T5:34:00Z:49.072315:-109.149857",149,-5.73132490946187
"grass_m:12UXV33:10:2017-5-30T4:56:00Z:49.095863:-109.167336",149,-6.36409647074011
"grass_m:12UXV33:15:2017-5-30T7:26:00Z:49.069546:-109.179955",149,-3.86686659435431
"grass_m:12UXV33:16:2017-5-30T5:20:00Z:49.072289:-109.163254",149,-5.9655528118213
"grass_m:12UXV33:17:2017-5-30T9:7:00Z:49.091305:-109.122719",149,-2.1781245692571
"grass_m:12UXV33:19:2017-5-30T6:5:00Z:49.06485:-109.167664",149,-5.21639161480798
"grass_m:12UXV33:22:2017-5-30T8:22:00Z:49.071102:-109.170868",149,-2.93281378149986
"grass_m:12UXV33:24:2017-5-30T8:36:00Z:49.079056:-109.167206",149,-2.6986535636584
"grass_m:12UXV33:27:2017-5-30T7:40:00Z:49.067951:-109.190575",149,-3.63435773478614
"grass_m:12UXV33:30:2017-5-30T5:3:00Z:49.08374:-109.167221",149,-6.24831120226118
"grass_m:12UXV34:01:2017-6-9T9:21:00Z:49.137161:-109.211815",159,-1.85725799189674
"grass_m:12UXV34:04:2017-6-9T7:4:00Z:49.119865:-109.122749",159,-4.1360220987267
"grass_m:12UXV34:06:2017-6-9T6:30:00Z:49.154701:-109.122787",159,-4.69993632217248
"grass_m:12UXV34:07:2017-6-9T9:0:00Z:49.14061:-109.10051",159,-2.1995665044917
"grass_m:12UXV34:08:2017-6-9T9:31:00Z:49.126724:-109.2118",159,-1.69141549355454
"grass_m:12UXV34:12:2017-6-11T8:2:00Z:49.149788:-109.12664",161,-3.15822276910146
