"Sample_ID","OD","TSSR","BCR"
"new-england_m:NEWENG:MA:MIMA-14-03:2007:1:2007-06-30T11:35:0Z:42.454953:-71.319482",180,2.39671429713567,30
"new-england_m:NEWENG:MA:MIMA-14-03:2008:1:2008-06-15TNA:NA:0Z:42.454953:-71.319482",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-14-03:2009:1:2009-06-07TNA:NA:0Z:42.454953:-71.319482",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-14-03:2011:1:2011-06-05T10:34:0Z:42.454953:-71.319482",155,1.41336376945178,30
"new-england_m:NEWENG:MA:MIMA-14-04:2006:1:2006-06-21T9:55:0Z:42.453809:-71.315618",171,0.781493772334523,30
"new-england_m:NEWENG:MA:MIMA-14-04:2007:1:2007-06-30T10:48:0Z:42.453809:-71.315618",180,1.61357108977106,30
"new-england_m:NEWENG:MA:MIMA-14-04:2008:1:2008-06-15TNA:NA:0Z:42.453809:-71.315618",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-14-04:2009:1:2009-06-07TNA:NA:0Z:42.453809:-71.315618",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-14-04:2011:1:2011-06-05TNA:NA:0Z:42.453809:-71.315618",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-14-05:2006:1:2006-06-21TNA:NA:0Z:42.453963:-71.312462",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-14-05:2007:1:2007-06-30T10:53:0Z:42.453963:-71.312462",180,1.69712398793962,30
"new-england_m:NEWENG:MA:MIMA-14-05:2009:1:2009-06-07TNA:NA:0Z:42.453963:-71.312462",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-14-05:2011:1:2011-06-05TNA:NA:0Z:42.453963:-71.312462",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-14-06:2006:1:2006-06-21TNA:NA:0Z:42.45588:-71.312596",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-14-06:2007:1:2007-06-30T10:36:0Z:42.45588:-71.312596",180,1.41389493134287,30
"new-england_m:NEWENG:MA:MIMA-14-06:2009:1:2009-06-07TNA:NA:0Z:42.45588:-71.312596",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-14-06:2011:1:2011-06-05T10:33:0Z:42.45588:-71.312596",155,1.39720874998305,30
"new-england_m:NEWENG:MA:MIMA-14-07:2006:1:2006-06-21TNA:NA:0Z:42.459508:-71.316619",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-14-07:2007:1:2007-06-30T10:46:0Z:42.459508:-71.316619",180,1.58050759196281,30
"new-england_m:NEWENG:MA:MIMA-14-07:2009:1:2009-06-07TNA:NA:0Z:42.459508:-71.316619",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-14-07:2011:1:2011-06-05T11:9:0Z:42.459508:-71.316619",155,1.99714685281118,30
"new-england_m:NEWENG:MA:MIMA-14-08:2006:1:2006-06-21TNA:NA:0Z:42.461344:-71.317445",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-14-08:2007:1:2007-06-30T10:46:0Z:42.461344:-71.317445",180,1.58056095984247,30
"new-england_m:NEWENG:MA:MIMA-14-08:2009:1:2009-06-07TNA:NA:0Z:42.461344:-71.317445",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-14-08:2011:1:2011-06-05T11:10:0Z:42.461344:-71.317445",155,2.01386284682486,30
"new-england_m:NEWENG:MA:MIMA-15-01:2006:1:2006-06-17TNA:NA:0Z:42.449546:-71.270044",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-15-01:2007:1:2007-06-16T9:40:0Z:42.449546:-71.270044",166,0.545168599155214,30
"new-england_m:NEWENG:MA:MIMA-15-01:2007:2:2007-06-24T9:51:0Z:42.449546:-71.270044",174,0.705705244011349,30
"new-england_m:NEWENG:MA:MIMA-15-01:2008:1:2008-06-15TNA:NA:0Z:42.449546:-71.270044",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-15-01:2008:2:2008-06-22T10:35:0Z:42.449546:-71.270044",173,1.44479413515992,30
"new-england_m:NEWENG:MA:MIMA-15-01:2009:1:2009-06-20TNA:NA:0Z:42.449546:-71.270044",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-15-01:2009:2:2009-06-27TNA:NA:0Z:42.449546:-71.270044",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-15-01:2010:1:2010-06-26TNA:NA:0Z:42.449546:-71.270044",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-15-01:2011:1:2011-06-11TNA:NA:0Z:42.449546:-71.270044",NA,NA,NA
