"Sample_ID","lat.y","lon.y","Shape..","NEAR_FID","NEAR_DIST","TNMFRC","definition","staticOID","Needleleaf_3x3","Needleleaf_5x5","Broadleaf_3x3","Broadleaf_5x5","MixedForest_3x3","MixedForest_5x5","ForestOnly_3x3","ForestOnly_5x5","ForestWetland_3x3","ForestWetland_5x5","Wetland_3x3","Wetland_5x5"
"mnbba:T155R49a:2011-06-17T11:45:0Z:48.2564562187121:-96.9345292900202",48.256456,-96.934529,"Point",83744,1.209694,"4","Local Road",2510,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T158R49a:2011-06-12T10:33:0Z:48.531822608141:-96.9553248799973",48.531823,-96.955325,"Point",82760,3.384878,"4","Local Road",1819,0,0,2,6,0,0,2,6,2,8,0,2
"mnbba:T156R49a:2011-06-17T11:6:0Z:48.3322823485934:-96.9354246500292",48.332282,-96.935425,"Point",83857,1.428422,"4","Local Road",2041,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T162R49a:2011-06-20T10:48:0Z:48.8566066885316:-96.9750023999172",48.856607,-96.975002,"Point",62839,0.521152,"4","Local Road",2749,0,0,0,0,0,0,0,0,6,20,6,20
"mnbba:T159R49a:2011-06-18T14:42:0Z:48.6019076388301:-96.9547257399305",48.601908,-96.954726,"Point",65353,1.246067,"4","Local Road",2283,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T153R49a:2009-06-20T10:4:0Z:48.0704843477498:-96.9116306358265",48.070484,-96.911631,"Point",117856,0.083461,"4","Local Road",2905,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T153R49a:2009-06-20T10:24:0Z:48.0769022924732:-96.9117871449009",48.076902,-96.911787,"Point",116236,2.985507,"4","Local Road",691,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T163R49a:2011-06-19T14:51:0Z:48.9561374284798:-96.9748038299987",48.956137,-96.974804,"Point",63577,0.25445,"4","Local Road",6703,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T154R49a:2009-06-20T13:29:0Z:48.1674992521438:-96.9122529394977",48.167499,-96.912253,"Point",120775,4.928807,"4","Local Road",3129,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T154R49a:2009-06-20T13:44:0Z:48.1744472182808:-96.9122702911392",48.174447,-96.91227,"Point",80857,0.577982,"4","Local Road",5897,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T158R49a:2011-06-12T10:50:0Z:48.528540928544:-96.9364632499878",48.528541,-96.936463,"Point",81191,1.07673,"4","Local Road",5666,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T163R49a:2011-06-19T15:9:0Z:48.9341678689429:-96.967596910009",48.934168,-96.967597,"Point",64167,0.05972,"4","Local Road",2696,0,0,0,0,0,0,0,0,0,2,0,2
"mnbba:T155R49a:2011-06-17T12:15:0Z:48.2398392585645:-96.91283911",48.239839,-96.912839,"Point",83000,0.915984,"4","Local Road",3742,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T155R49a:2011-06-17T12:0:0Z:48.2539025884346:-96.9128494199379",48.253903,-96.912849,"Point",85677,3.585906,"4","Local Road",14,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T157R49a:2011-06-17T10:14:0Z:48.4274224786254:-96.9259981899608",48.427422,-96.925998,"Point",84516,1.512173,"4","Local Road",6425,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T156R49a:2011-06-17T11:20:0Z:48.3257167185092:-96.9175461300332",48.325717,-96.917546,"Point",83199,3.001021,"4","Local Road",464,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T152R49a:2009-06-19T13:9:0Z:48.0073634561244:-96.8908638550195",48.007363,-96.890864,"Point",119646,1.910047,"4","Local Road",6492,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T160R49a:2011-06-20T12:35:0Z:48.7169448987213:-96.9438777099633",48.716945,-96.943878,"Point",63803,3.258162,"4","Local Road",1377,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T162R49a:2011-06-20T10:35:0Z:48.8621909589632:-96.9528450899763",48.862191,-96.952845,"Point",63656,12.686985,"4","Local Road",2308,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T156R49a:2011-06-17T10:48:0Z:48.3631185286379:-96.9138248999601",48.363119,-96.913825,"Point",81653,2.218908,"4","Local Road",905,0,0,1,2,0,0,1,2,3,7,2,5
"mnbba:T158R49a:2011-06-12T11:14:0Z:48.4996184083553:-96.9211138899276",48.499618,-96.921114,"Point",83791,1.791002,"4","Local Road",910,0,0,0,0,0,0,0,0,0,2,0,2
"mnbba:T157R49a:2011-06-17T9:56:0Z:48.4418140387458:-96.9127000500021",48.441814,-96.9127,"Point",84990,2.338365,"4","Local Road",4734,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T160R49a:2011-06-20T12:51:0Z:48.7005539189063:-96.9324384299669",48.700554,-96.932438,"Point",62745,8.079992,"4","Local Road",5901,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T157R49a:2011-06-17T11:56:0Z:48.4505727984976:-96.9113917199872",48.450573,-96.911392,"Point",81183,0.955404,"4","Local Road",206,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T161R49a:2011-06-20T11:52:0Z:48.7758171282789:-96.9348425199769",48.775817,-96.934843,"Point",66018,4.767899,"3","Local Connecting Road",2747,0,0,0,0,0,0,0,0,6,18,6,18
"mnbba:T161R49a:2011-06-20T11:38:0Z:48.7922719788706:-96.930557440007",48.792272,-96.930557,"Point",62289,4.409627,"4","Local Road",6522,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T152R49a:2009-06-19T12:36:0Z:48.0010189570361:-96.8693632830495",48.001019,-96.869363,"Point",119561,1.832501,"4","Local Road",689,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T160R49a:2011-06-20T12:21:0Z:48.7169811984696:-96.9238715299457",48.716981,-96.923872,"Point",65126,4.609635,"4","Local Road",4193,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T152R49a:2009-06-19T12:52:0Z:48.0042050782841:-96.8694004882941",48.004205,-96.8694,"Point",119561,0.526921,"4","Local Road",6493,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T161R49a:2011-06-20T11:17:0Z:48.8039793987132:-96.9305141100483",48.803979,-96.930514,"Point",63609,7.237574,"4","Local Road",1840,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T163R49a:2011-06-19T15:24:0Z:48.9341694684228:-96.9340069299375",48.934169,-96.934007,"Point",61696,4.51747,"4","Local Road",729,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T125R48a:2011-07-01T11:32:0Z:45.6729833324049:-96.6979499999917",45.672983,-96.69795,"Point",558272,0.246216,"4","Local Road",673,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T162R49a:2011-06-20T10:13:0Z:48.8493228082905:-96.9252235299534",48.849323,-96.925224,"Point",62856,3.731042,"4","Local Road",1381,0,0,0,0,0,0,0,0,0,2,0,2
"mnbba:T125R48a:2011-07-01T12:5:0Z:45.6729666653562:-96.6927833333558",45.672967,-96.692783,"Point",558272,0.026937,"4","Local Road",4837,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T125R48a:2011-07-01T11:48:0Z:45.6729999991078:-96.6863666667011",45.673,-96.686367,"Point",558553,2.625319,"4","Local Road",6827,0,0,0,0,0,0,0,0,0,3,0,3
"mnbba:T124R48a:2009-06-15T12:55:0Z:45.5728300979008:-96.6784303121208",45.57283,-96.67843,"Point",386277,263.971724,"4","Local Road",4610,0,0,0,0,0,0,0,0,7,12,7,12
"mnbba:T126R48b:2011-07-01T12:28:0Z:45.7111166653322:-96.6775666666408",45.711117,-96.677567,"Point",557007,2.059597,"4","Local Road",5118,0,0,0,0,0,3,0,3,0,3,0,0
"mnbba:T123R48a:2009-06-15T11:54:0Z:45.4937536833193:-96.6582180301157",45.493754,-96.658218,"Point",385352,9.844635,"4","Local Road",5045,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T148R48a:2012-06-20T10:12:0Z:47.6162929988131:-96.8028609999785",47.616293,-96.802861,"Point",122864,158.146623,"4","Local Road",6874,0,0,0,0,0,0,0,0,4,9,4,9
"mnbba:T137R48a:2012-06-12T13:47:0Z:46.7094939986396:-96.7369679999941",46.709494,-96.736968,"Point",30820,2.739566,"4","Local Road",4253,0,0,0,0,0,0,0,0,3,5,3,5
"mnbba:T123R48a:2009-06-15T12:30:0Z:45.5012428540446:-96.6529333548189",45.501243,-96.652933,"Point",386205,1.655662,"4","Local Road",4606,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T141R48a:2012-06-15T12:20:0Z:47.0498289984735:-96.752520999936",47.049829,-96.752521,"Point",28213,1.779823,"4","Local Road",5548,0,0,0,0,0,0,0,0,0,2,0,2
"mnbba:T141R48a:2012-06-15T12:4:0Z:47.0356929985449:-96.7492989999521",47.035693,-96.749299,"Point",26044,1.795491,"4","Local Road",6614,0,0,0,0,0,0,0,0,3,11,3,11
"mnbba:T153R48a:2009-06-21T11:7:0Z:48.0870894152172:-96.8250782101479",48.087089,-96.825078,"Point",115026,0.964983,"4","Local Road",451,0,0,2,5,0,0,2,5,2,5,0,0
"mnbba:T126R48b:2011-07-01T13:17:0Z:45.6751499986159:-96.6569000000002",45.67515,-96.6569,"Point",558719,1.436336,"4","Local Road",5564,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T137R48a:2012-06-12T13:26:0Z:46.7029285085486:-96.7257559228283",46.702929,-96.725756,"Point",27695,2.107024,"4","Local Road",3012,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T126R48b:2011-07-01T12:48:0Z:45.679416665298:-96.6569166666468",45.679417,-96.656917,"Point",558719,1.534515,"4","Local Road",5797,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T135R48a:2012-06-10T13:57:0Z:46.5142569986368:-96.711987999974",46.514257,-96.711988,"Point",167646,1.836063,"4","Local Road",629,0,0,2,7,0,0,2,7,2,7,0,0
"mnbba:T136R48a:2012-06-10T14:20:0Z:46.6019059983179:-96.7159519999838",46.601906,-96.715952,"Point",169758,3.673947,"4","Local Road",3854,0,0,0,0,0,0,0,0,1,6,1,6
"mnbba:T123R48a:2009-06-15T12:14:0Z:45.5010945005999:-96.6399380995412",45.501095,-96.639938,"Point",386205,0.674957,"4","Local Road",1653,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T140R48a:2012-06-14T13:57:0Z:46.9390687489743:-96.736208030359",46.939069,-96.736208,"Point",26665,2.320933,"4","Local Road",6027,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T154R48a:2009-06-21T12:14:0Z:48.1740853437302:-96.8245775554612",48.174085,-96.824578,"Point",83159,2.34376,"4","Local Road",5652,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T140R48a:2012-06-14T14:15:0Z:46.9550949983029:-96.7361760000186",46.955095,-96.736176,"Point",30446,0.174204,"4","Local Road",1524,0,0,3,6,0,0,3,6,3,6,0,0
"mnbba:T157R48a:2011-06-14T11:9:0Z:48.4279973988981:-96.8423007800386",48.427997,-96.842301,"Point",82016,3.473253,"4","Local Road",3343,0,0,0,0,0,0,0,0,5,16,5,16
"mnbba:T135R48a:2012-06-10T13:38:0Z:46.5142789989271:-96.7036040000156",46.514279,-96.703604,"Point",168025,1.290904,"4","Local Road",1753,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T154R48a:2009-06-21T12:44:0Z:48.1810202951526:-96.8214960844501",48.18102,-96.821496,"Point",81073,5.7642,"4","Local Road",6731,0,0,0,0,0,0,0,0,1,5,1,5
"mnbba:T154R48a:2009-06-21T12:27:0Z:48.1741253771749:-96.820402750318",48.174125,-96.820403,"Point",83159,0.639832,"4","Local Road",3335,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T161R48a:2009-07-06T14:30:0Z:48.7743467721555:-96.8650106888937",48.774347,-96.865011,"Point",63788,3.489737,"4","Local Road",1617,0,0,0,2,0,0,0,2,6,16,6,14
