Sample_ID,roaddist,Coniferous_3x3,Deciduous_3x3,ForestOnly_3x3,ForestWetland_3x3,MixedForest_3x3,Wetland_3x3,Coniferous_5x5,Deciduous_5x5,ForestOnly_5x5,ForestWetland_5x5,MixedForest_5x5,Wetland_5x5
bam-mn_m:MNBBA:T101R40a:1:10:2010-6-22T5:52:00Z,570045.1875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R40a:2:10:2010-6-22T6:10:00Z,570570.5,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R40a:3:10:2010-6-22T5:35:00Z,568052.875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R41a:1:11:2011-6-1T8:15:00Z,570973.625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R41a:2:11:2011-6-1T8:30:00Z,571379.125,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R41a:3:11:2011-6-1T8:0:00Z,570714.6875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R42a:1:11:2011-6-1T7:20:00Z,575556,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R42a:2:11:2011-6-1T7:5:00Z,574976.125,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R42a:3:11:2011-6-1T7:38:00Z,574897.625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R43a:1:11:2011-5-29T9:10:00Z,573274.625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R43a:2:11:2011-5-29T8:55:00Z,573525.625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R43a:3:11:2011-5-29T9:30:00Z,578087.375,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R44a:1:11:2011-5-28T9:2:00Z,579835.5,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R44a:2:11:2011-5-28T8:45:00Z,579946.75,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R44a:3:11:2011-5-28T9:20:00Z,577603.4375,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R45a:1:11:2011-5-28T8:17:00Z,583181.9375,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R45a:2:11:2011-5-28T7:58:00Z,582752.625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R45a:3:11:2011-5-28T7:45:00Z,584581.125,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R46a:1:11:2011-5-28T6:35:00Z,584662.8125,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R46a:2:11:2011-5-28T6:50:00Z,584491.3125,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R46a:3:11:2011-5-28T7:12:00Z,587043.4375,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R4a:1:09:2009-5-31T7:0:00Z,508781.1563,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R4a:2:09:2009-5-31T7:21:00Z,508205.3438,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R4a:3:09:2009-5-31T7:40:00Z,509050.0313,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R5a:1:09:2009-5-31T8:5:00Z,512354.6563,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R5a:2:09:2009-5-31T8:34:00Z,513004.8438,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R5a:3:09:2009-5-31T8:19:00Z,513516.7188,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R6a:1:09:2009-5-30T8:5:00Z,513956.5,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R6a:2:09:2009-5-30T7:52:00Z,513630.75,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R6a:3:09:2009-5-30T8:22:00Z,513608.6563,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R7a:1:09:2009-5-31T9:30:00Z,517667.625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R7a:2:09:2009-5-31T9:17:00Z,518031.6563,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R7a:3:09:2009-5-31T9:0:00Z,517309.875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R8a:1:09:2009-6-1T8:26:00Z,517505.9063,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R8a:2:09:2009-6-1T8:12:00Z,517393.5938,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R8a:3:09:2009-6-1T8:37:00Z,517365.4063,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R9a:1:09:2009-6-16T7:25:00Z,521151.3125,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R9a:2:09:2009-6-16T7:44:00Z,520032.3438,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R9a:3:09:2009-6-16T8:14:00Z,522926.6563,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R10a:1:09:2009-6-17T8:44:00Z,514085.625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R10a:2:09:2009-6-17T8:22:00Z,515477.8438,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R10a:3:09:2009-6-17T8:5:00Z,516543.4063,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R11a:1:11:2011-6-1T5:26:00Z,519215.5,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R11a:2:11:2011-6-1T5:5:00Z,520060,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R11a:3:11:2011-6-1T5:51:00Z,518359,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R12a:1:11:2011-6-1T8:40:00Z,523296.125,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R12a:2:11:2011-6-1T8:27:00Z,524558.5,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R12a:3:11:2011-6-1T8:53:00Z,523821.3125,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R13a:1:11:2011-5-30T9:11:00Z,527064,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R13a:2:11:2011-5-30T8:56:00Z,525570.875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R13a:3:11:2011-5-30T9:30:00Z,526641.375,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R14a:1:11:2011-5-30T8:25:00Z,525401.9375,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R14a:2:11:2011-5-30T8:37:00Z,525037.8125,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R14a:3:11:2011-5-30T8:10:00Z,526459.875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R15a:1:11:2011-5-29T9:23:00Z,525364.5,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R15a:2:11:2011-5-29T9:35:00Z,525406.1875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R15a:3:11:2011-5-29T8:47:00Z,524523.6875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R16a:1:11:2011-5-29T9:13:00Z,524890.125,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R16a:2:11:2011-5-29T9:0:00Z,524558.6875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R16a:3:11:2011-5-29T9:32:00Z,526228.3125,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R17a:1:11:2011-5-27T5:17:00Z,530013.5,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R17a:2:11:2011-5-27T5:51:00Z,529982.3125,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R17a:3:11:2011-5-27T6:17:00Z,528900.5,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R18a:1:11:2011-5-28T8:0:00Z,526473.6875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R18a:2:11:2011-5-28T8:25:00Z,528601.625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R18a:3:11:2011-5-28T8:45:00Z,526478,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R19a:1:11:2011-5-27T9:20:00Z,529330.125,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R19a:2:11:2011-5-27T9:36:00Z,529347.5625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R19a:3:11:2011-5-27T9:55:00Z,531276.4375,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R20a:1:11:2011-5-27T5:30:00Z,529659.25,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R20a:2:11:2011-5-27T6:18:00Z,530055.75,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R20a:3:11:2011-5-27T5:55:00Z,530735.0625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R21a:1:11:2011-5-29T5:18:00Z,533020.75,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R21a:2:11:2011-5-29T5:0:00Z,531360.9375,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R21a:3:11:2011-5-29T5:35:00Z,533844.5,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R22a:1:11:2011-5-29T6:10:00Z,532500.5625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R22a:2:11:2011-5-29T6:30:00Z,532928.5625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R22a:3:11:2011-5-29T6:52:00Z,534656.5,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R23a:1:10:2010-6-10T7:30:00Z,534244.1875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R23a:2:10:2010-6-10T7:50:00Z,536419.375,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R23a:3:10:2010-6-10T8:20:00Z,536931.75,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R24a:1:10:2010-6-10T5:18:00Z,538288.4375,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R24a:2:10:2010-6-10T6:0:00Z,539775.6875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R24a:3:10:2010-6-10T5:45:00Z,537965.3125,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R25a:1:10:2010-6-10T8:20:00Z,539685.9375,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R25a:2:10:2010-6-10T8:32:00Z,538898.5,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R25a:3:10:2010-6-10T8:49:00Z,538971.3125,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R26a:1:10:2010-5-28T6:27:00Z,541500.75,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R26a:2:10:2010-5-28T6:36:00Z,542672.25,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R26a:3:10:2010-5-28T6:9:00Z,542839.5,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R27a:1:10:2010-5-28T5:19:00Z,543721.9375,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R27a:2:10:2010-5-28T5:47:00Z,542369.125,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T102R27a:3:10:2010-5-28T5:32:00Z,544082.625,0,0,0,0,0,0,0,0,0,0,0,0
